"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-14","43","H,,S","49",",,W","39",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-15","45","H,,S","46",",,W","37",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-16","41","H,,S","50",",,W","36",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-17","47","H,,S","60",",,W","34",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-18","35","H,,S","41",",,W","30",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-19","35","H,,S","44",",,W","30",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-20","35","H,,S","40",",,W","31",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-21","35","H,,S","48",",,W","30",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-22","41","H,,S","45",",,W","28",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-23","32","H,,S","41",",,W","24",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-24","34","H,,S","43",",,W","26",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-25","37","H,,S","46",",,W","30",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-26","45","H,,S","54",",,W","41",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-27","45","H,,S","47",",,W","41",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-28","39","H,,S","42",",,W","28",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-29","34","H,,S","46",",,W","27",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-30","42","H,,S","58",",,W","36",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-31","44","H,,S","48",",,W","37",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-01","42","H,,S","53",",,W","34",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-02","46","H,,S","57",",,W","33",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-03","50","H,,S","59",",,W","46",",,W"
